"Buurten";"Afstand tot grote supermarkt|2008";"Afstand tot grote supermarkt|2009";"Afstand tot grote supermarkt|2010";"Afstand tot grote supermarkt|2011";"Afstand tot grote supermarkt|2012";"Afstand tot grote supermarkt|2013";"Afstand tot grote supermarkt|2014";"Afstand tot grote supermarkt|2015";"Afstand tot grote supermarkt|2016";"Afstand tot grote supermarkt|2017";"Afstand tot grote supermarkt|2018";"Afstand tot grote supermarkt|2019";"Afstand tot grote supermarkt|2020";"Afstand tot grote supermarkt|2022";"Grote supermarkten binnen 1 km|2008";"Grote supermarkten binnen 1 km|2009";"Grote supermarkten binnen 1 km|2010";"Grote supermarkten binnen 1 km|2011";"Grote supermarkten binnen 1 km|2012";"Grote supermarkten binnen 1 km|2013";"Grote supermarkten binnen 1 km|2014";"Grote supermarkten binnen 1 km|2015";"Grote supermarkten binnen 1 km|2016";"Grote supermarkten binnen 1 km|2017";"Grote supermarkten binnen 1 km|2018";"Grote supermarkten binnen 1 km|2019";"Grote supermarkten binnen 1 km|2020";"Grote supermarkten binnen 1 km|2022";"Grote supermarkten binnen 3 km|2008";"Grote supermarkten binnen 3 km|2009";"Grote supermarkten binnen 3 km|2010";"Grote supermarkten binnen 3 km|2011";"Grote supermarkten binnen 3 km|2012";"Grote supermarkten binnen 3 km|2013";"Grote supermarkten binnen 3 km|2014";"Grote supermarkten binnen 3 km|2015";"Grote supermarkten binnen 3 km|2016";"Grote supermarkten binnen 3 km|2017";"Grote supermarkten binnen 3 km|2018";"Grote supermarkten binnen 3 km|2019";"Grote supermarkten binnen 3 km|2020";"Grote supermarkten binnen 3 km|2022";"Afstand tot overige dagelijkse levensmiddelen|2008";"Afstand tot overige dagelijkse levensmiddelen|2009";"Afstand tot overige dagelijkse levensmiddelen|2010";"Afstand tot overige dagelijkse levensmiddelen|2011";"Afstand tot overige dagelijkse levensmiddelen|2012";"Afstand tot overige dagelijkse levensmiddelen|2013";"Afstand tot overige dagelijkse levensmiddelen|2014";"Afstand tot overige dagelijkse levensmiddelen|2015";"Afstand tot overige dagelijkse levensmiddelen|2016";"Afstand tot overige dagelijkse levensmiddelen|2017";"Afstand tot overige dagelijkse levensmiddelen|2018";"Afstand tot overige dagelijkse levensmiddelen|2019";"Afstand tot overige dagelijkse levensmiddelen|2020";"Afstand tot overige dagelijkse levensmiddelen|2022";"Overige dagelijkse levensmiddelen binnen 1 km|2008";"Overige dagelijkse levensmiddelen binnen 1 km|2009";"Overige dagelijkse levensmiddelen binnen 1 km|2010";"Overige dagelijkse levensmiddelen binnen 1 km|2011";"Overige dagelijkse levensmiddelen binnen 1 km|2012";"Overige dagelijkse levensmiddelen binnen 1 km|2013";"Overige dagelijkse levensmiddelen binnen 1 km|2014";"Overige dagelijkse levensmiddelen binnen 1 km|2015";"Overige dagelijkse levensmiddelen binnen 1 km|2016";"Overige dagelijkse levensmiddelen binnen 1 km|2017";"Overige dagelijkse levensmiddelen binnen 1 km|2018";"Overige dagelijkse levensmiddelen binnen 1 km|2019";"Overige dagelijkse levensmiddelen binnen 1 km|2020";"Overige dagelijkse levensmiddelen binnen 1 km|2022";"Overige dagelijkse levensmiddelen binnen 3 km|2008";"Overige dagelijkse levensmiddelen binnen 3 km|2009";"Overige dagelijkse levensmiddelen binnen 3 km|2010";"Overige dagelijkse levensmiddelen binnen 3 km|2011";"Overige dagelijkse levensmiddelen binnen 3 km|2012";"Overige dagelijkse levensmiddelen binnen 3 km|2013";"Overige dagelijkse levensmiddelen binnen 3 km|2014";"Overige dagelijkse levensmiddelen binnen 3 km|2015";"Overige dagelijkse levensmiddelen binnen 3 km|2016";"Overige dagelijkse levensmiddelen binnen 3 km|2017";"Overige dagelijkse levensmiddelen binnen 3 km|2018";"Overige dagelijkse levensmiddelen binnen 3 km|2019";"Overige dagelijkse levensmiddelen binnen 3 km|2020";"Overige dagelijkse levensmiddelen binnen 3 km|2022";"Afstand tot huisartsenpraktijk|2008";"Afstand tot huisartsenpraktijk|2009";"Afstand tot huisartsenpraktijk|2010";"Afstand tot huisartsenpraktijk|2011";"Afstand tot huisartsenpraktijk|2012";"Afstand tot huisartsenpraktijk|2013";"Afstand tot huisartsenpraktijk|2014";"Afstand tot huisartsenpraktijk|2015";"Afstand tot huisartsenpraktijk|2016";"Afstand tot huisartsenpraktijk|2017";"Afstand tot huisartsenpraktijk|2018";"Afstand tot huisartsenpraktijk|2019";"Afstand tot huisartsenpraktijk|2020";"Afstand tot huisartsenpraktijk|2022";"Huisartsenpraktijken binnen 1 km|2008";"Huisartsenpraktijken binnen 1 km|2009";"Huisartsenpraktijken binnen 1 km|2010";"Huisartsenpraktijken binnen 1 km|2011";"Huisartsenpraktijken binnen 1 km|2012";"Huisartsenpraktijken binnen 1 km|2013";"Huisartsenpraktijken binnen 1 km|2014";"Huisartsenpraktijken binnen 1 km|2015";"Huisartsenpraktijken binnen 1 km|2016";"Huisartsenpraktijken binnen 1 km|2017";"Huisartsenpraktijken binnen 1 km|2018";"Huisartsenpraktijken binnen 1 km|2019";"Huisartsenpraktijken binnen 1 km|2020";"Huisartsenpraktijken binnen 1 km|2022";"Afstand tot apotheek|2008";"Afstand tot apotheek|2009";"Afstand tot apotheek|2010";"Afstand tot apotheek|2011";"Afstand tot apotheek|2012";"Afstand tot apotheek|2013";"Afstand tot apotheek|2014";"Afstand tot apotheek|2015";"Afstand tot apotheek|2016";"Afstand tot apotheek|2017";"Afstand tot apotheek|2018";"Afstand tot apotheek|2019";"Afstand tot apotheek|2020";"Afstand tot apotheek|2022";"Afstand tot school basisonderwijs|2008";"Afstand tot school basisonderwijs|2009";"Afstand tot school basisonderwijs|2010";"Afstand tot school basisonderwijs|2011";"Afstand tot school basisonderwijs|2012";"Afstand tot school basisonderwijs|2013";"Afstand tot school basisonderwijs|2014";"Afstand tot school basisonderwijs|2015";"Afstand tot school basisonderwijs|2016";"Afstand tot school basisonderwijs|2017";"Afstand tot school basisonderwijs|2018";"Afstand tot school basisonderwijs|2019";"Afstand tot school basisonderwijs|2020";"Afstand tot school basisonderwijs|2022";"Scholen basisonderwijs binnen 1 km|2008";"Scholen basisonderwijs binnen 1 km|2009";"Scholen basisonderwijs binnen 1 km|2010";"Scholen basisonderwijs binnen 1 km|2011";"Scholen basisonderwijs binnen 1 km|2012";"Scholen basisonderwijs binnen 1 km|2013";"Scholen basisonderwijs binnen 1 km|2014";"Scholen basisonderwijs binnen 1 km|2015";"Scholen basisonderwijs binnen 1 km|2016";"Scholen basisonderwijs binnen 1 km|2017";"Scholen basisonderwijs binnen 1 km|2018";"Scholen basisonderwijs binnen 1 km|2019";"Scholen basisonderwijs binnen 1 km|2020";"Scholen basisonderwijs binnen 1 km|2022";"Afstand tot school voortgezet onderwijs totaal|2008";"Afstand tot school voortgezet onderwijs totaal|2009";"Afstand tot school voortgezet onderwijs totaal|2010";"Afstand tot school voortgezet onderwijs totaal|2011";"Afstand tot school voortgezet onderwijs totaal|2012";"Afstand tot school voortgezet onderwijs totaal|2013";"Afstand tot school voortgezet onderwijs totaal|2014";"Afstand tot school voortgezet onderwijs totaal|2015";"Afstand tot school voortgezet onderwijs totaal|2016";"Afstand tot school voortgezet onderwijs totaal|2017";"Afstand tot school voortgezet onderwijs totaal|2018";"Afstand tot school voortgezet onderwijs totaal|2019";"Afstand tot school voortgezet onderwijs totaal|2020";"Afstand tot school voortgezet onderwijs totaal|2022";"Scholen voortgezet onderwijs totaal binnen 3 km|2008";"Scholen voortgezet onderwijs totaal binnen 3 km|2009";"Scholen voortgezet onderwijs totaal binnen 3 km|2010";"Scholen voortgezet onderwijs totaal binnen 3 km|2011";"Scholen voortgezet onderwijs totaal binnen 3 km|2012";"Scholen voortgezet onderwijs totaal binnen 3 km|2013";"Scholen voortgezet onderwijs totaal binnen 3 km|2014";"Scholen voortgezet onderwijs totaal binnen 3 km|2015";"Scholen voortgezet onderwijs totaal binnen 3 km|2016";"Scholen voortgezet onderwijs totaal binnen 3 km|2017";"Scholen voortgezet onderwijs totaal binnen 3 km|2018";"Scholen voortgezet onderwijs totaal binnen 3 km|2019";"Scholen voortgezet onderwijs totaal binnen 3 km|2020";"Scholen voortgezet onderwijs totaal binnen 3 km|2022";"Afstand tot bibliotheek|2008";"Afstand tot bibliotheek|2009";"Afstand tot bibliotheek|2010";"Afstand tot bibliotheek|2011";"Afstand tot bibliotheek|2012";"Afstand tot bibliotheek|2013";"Afstand tot bibliotheek|2014";"Afstand tot bibliotheek|2015";"Afstand tot bibliotheek|2016";"Afstand tot bibliotheek|2017";"Afstand tot bibliotheek|2018";"Afstand tot bibliotheek|2019";"Afstand tot bibliotheek|2020";"Afstand tot bibliotheek|2022";"Afstand tot bioscoop|2008";"Afstand tot bioscoop|2009";"Afstand tot bioscoop|2010";"Afstand tot bioscoop|2011";"Afstand tot bioscoop|2012";"Afstand tot bioscoop|2013";"Afstand tot bioscoop|2014";"Afstand tot bioscoop|2015";"Afstand tot bioscoop|2016";"Afstand tot bioscoop|2017";"Afstand tot bioscoop|2018";"Afstand tot bioscoop|2019";"Afstand tot bioscoop|2020";"Afstand tot bioscoop|2022"
"Nieuwe Markt e.o.";0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,6;0,9;2,5;2,5;2,4;2,4;2,4;2,4;2,3;1,7;1,6;1,6;1,6;4,0;1,8;0,8;13,9;13,2;13,2;14,2;14,2;14,3;14,3;12,2;14,3;14,2;14,7;16,0;15,0;13,7;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;61,1;59,4;55,0;52,1;55,4;55,9;54,9;48,2;49,1;47,8;47,9;51,5;36,5;23,1;96,9;93,0;91,1;83,9;89,0;93,2;90,2;86,0;86,4;84,0;90,3;90,8;88,4;72,7;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;"";0,7;3,0;3,0;3,0;2,9;2,9;2,8;2,9;2,5;2,5;2,5;2,6;2,5;2,3;1,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,5;"";"";0,6;3,5;3,8;3,5;3,5;3,3;2,6;2,6;2,5;2,4;2,5;2,3;"";"";1,7;0,9;0,8;0,9;0,9;0,9;0,9;0,9;1,0;1,2;1,2;1,1;"";"";1,5;10,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;8,5;12,4;"";"";11,6;0,4;0,4;"";"";0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,9;0,6;0,8;0,4;0,4;0,4;0,4;0,4;0,4;0,4;1,2;1,2;1,2;1,3;0,9;1,0;1,7
"De Baan e.o.";0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,6;0,6;0,6;0,7;0,7;0,7;0,8;2,2;2,2;2,2;2,2;2,2;2,2;1,9;1,6;1,6;1,6;1,6;2,5;2,1;1,7;12,6;12,3;12,5;13,0;12,4;12,6;12,3;9,1;11,1;11,2;11,2;12,3;12,2;13,6;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;60,1;58,1;53,9;51,3;54,4;55,9;54,7;41,9;42,1;39,9;38,9;25,7;18,6;25,9;95,3;91,3;88,1;80,6;84,4;89,2;85,9;73,4;75,3;73,3;78,7;79,4;77,6;72,7;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,7;0,9;0,9;0,9;1,0;"";0,9;4,1;3,7;3,8;3,8;3,7;3,7;3,7;1,3;0,7;0,7;0,8;0,8;0,5;0,7;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,7;0,7;0,7;0,8;1,1;1,2;0,7;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;"";"";0,3;3,3;3,4;3,3;3,3;3,3;2,9;2,9;2,1;2,1;2,2;2,2;"";"";1,9;1,0;0,4;1,0;1,0;1,0;1,0;1,0;1,2;1,5;1,5;1,5;"";"";1,6;10,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;8,0;11,4;"";"";10,3;0,2;0,2;"";"";0,2;0,2;0,2;0,7;0,8;0,7;0,7;1,1;1,2;0,9;0,7;0,7;0,7;0,8;0,8;0,8;0,8;1,2;1,2;1,2;1,2;1,1;1,3;1,5
"Turfmarkt e.o.";0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4;0,2;0,3;0,5;3,7;3,7;3,3;3,3;3,4;3,3;3,3;3,0;3,0;3,0;3,2;5,1;4,5;2,2;13,6;12,5;12,8;13,7;13,8;13,9;13,9;11,1;13,0;13,0;13,1;14,7;13,0;11,8;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;60,6;59,4;54,4;51,9;55,2;55,9;55,1;46,1;46,9;44,9;47,6;50,1;29,9;11,4;93,9;90,5;89,3;82,4;87,2;91,4;88,3;82,4;82,8;80,7;85,7;86,6;80,7;68,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,5;0,4;0,4;0,4;0,4;"";0,4;3,5;3,4;3,5;3,5;3,4;3,3;3,3;2,9;2,8;2,8;2,8;3,4;2,5;1,8;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,7;0,7;0,7;0,7;0,7;1,0;1,4;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,8;0,9;0,8;0,9;"";"";1,2;2,7;3,0;2,6;2,6;2,6;2,6;2,4;2,0;1,4;1,7;1,0;"";"";0,3;1,0;0,9;1,0;1,0;1,0;1,0;1,0;1,1;1,1;1,1;1,1;"";"";1,1;10,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;8,3;12,1;"";"";10,7;0,7;0,7;"";"";0,6;0,6;0,6;1,0;1,0;1,0;1,0;0,8;1,1;1,8;0,6;0,6;0,6;0,6;0,5;0,6;0,5;0,9;0,9;0,9;1,0;0,8;1,0;1,1
"Raam e.o.";0,3;0,3;0,2;0,2;0,3;0,2;0,4;0,4;0,4;0,4;0,5;0,2;0,2;0,4;3,9;3,9;3,8;3,8;3,8;3,8;3,7;3,6;3,6;3,6;4,3;4,9;3,8;3,3;12,6;11,8;11,9;12,2;11,5;11,6;11,2;8,3;10,3;10,3;10,3;12,8;12,2;11,8;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;63,7;62,0;56,4;54,5;57,1;58,9;56,8;40,4;39,9;37,7;32,2;39,3;23,8;19,2;93,4;89,7;85,8;77,3;81,1;85,4;81,6;71,7;73,6;71,6;76,3;78,6;77,0;69,0;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,6;0,7;0,7;0,7;0,6;"";0,7;3,2;3,0;3,1;3,0;2,9;2,9;2,8;2,3;2,3;2,4;2,3;2,7;1,8;1,5;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,9;0,9;1,3;1,3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,6;0,7;0,6;0,6;"";"";0,7;3,4;4,3;3,4;3,5;3,5;3,5;3,0;2,4;2,0;2,5;2,5;"";"";1,3;1,2;0,7;1,1;1,1;1,1;1,1;1,1;1,3;1,2;1,2;1,2;"";"";1,2;10,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;8,0;11,3;"";"";10,1;0,5;0,5;"";"";0,6;0,6;0,6;1,1;1,1;1,1;1,2;0,6;1,2;1,5;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,7;0,7;0,6;0,6;0,6;1,1;1,2
"Nieuwe Park Oost";0,3;0,4;0,8;0,8;0,7;0,7;0,7;0,8;0,8;0,8;0,8;0,6;0,6;0,6;3,0;3,1;2,2;2,1;2,3;2,3;2,4;2,0;1,9;1,9;1,9;3,9;3,7;3,1;13,1;11,9;12,2;12,8;12,6;12,6;12,1;10,4;12,0;12,1;12,2;13,6;13,2;13,6;0,2;0,3;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,6;26,0;26,5;23,5;21,7;23,1;21,7;21,0;15,1;15,9;15,8;17,4;19,6;17,4;10,4;90,7;87,8;86,5;80,0;84,4;88,6;84,3;79,7;80,4;78,3;83,5;83,4;81,5;72,5;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;"";0,4;2,6;2,7;2,7;2,5;2,6;2,5;2,5;2,3;2,6;2,6;2,6;2,7;2,7;2,5;1,1;1,1;1,1;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,1;1,1;1,1;1,1;1,1;1,0;1,1;1,1;1,2;1,2;1,2;1,2;1,2;"";"";1,2;0,7;0,7;0,7;0,8;0,5;0,6;0,3;0,2;0,2;0,2;0,2;"";"";0,2;0,4;0,4;0,4;0,5;0,5;0,4;0,4;0,4;0,4;0,6;0,5;"";"";0,5;10,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;9,0;8,2;12,2;"";"";12,0;1,3;1,1;"";"";1,1;1,1;1,2;1,2;1,2;1,2;1,2;1,0;1,1;1,4;0,8;0,8;0,8;0,8;0,8;0,8;0,8;1,0;1,1;1,1;1,0;1,0;0,9;1,1
"Nieuwe Park West";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"";"";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"";"";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"";"";"?";"?";"?";"?";"?";"?";"?";"-";"-";"?";"?";"?";"";"";"?";"?";"?";"";"";"?";"?";"?";"-";"-";"?";"?";"?";"?";"?";0,0;"?";"?";"?";"?";"-";"?";"-";"-";"?";"?";"?";"?";"?"
"De Korte Akkeren Oud";0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;3,2;3,3;3,1;3,1;3,0;3,0;3,0;3,0;3,0;3,0;2,9;4,0;2,9;2,1;10,3;8,7;8,7;8,7;8,5;8,5;8,4;7,2;8,7;8,7;9,0;11,3;11,3;11,8;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,5;0,5;0,4;0,5;0,5;0,5;25,0;24,7;20,4;20,5;20,2;21,1;19,0;12,7;13,0;12,4;10,9;16,9;7,8;5,2;80,3;78,2;72,9;69,7;73,1;74,9;72,4;69,3;70,9;68,9;74,2;74,7;72,9;67,0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;"";0,6;2,9;2,3;2,3;2,2;2,2;2,2;2,2;1,9;2,1;2,1;2,2;2,3;2,1;1,9;0,5;0,5;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4;0,5;0,4;0,4;"";"";0,4;3,2;3,2;3,2;3,1;3,2;3,2;3,1;3,0;3,0;3,0;3,0;"";"";2,8;1,3;1,2;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;"";"";1,3;9,4;8,7;8,7;8,6;8,2;8,2;8,2;8,0;7,8;6,7;10,0;"";"";9,2;1,3;0,6;"";"";0,6;0,5;0,6;0,6;0,6;0,6;0,6;0,5;0,5;1,9;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,6
"De Korte Akkeren Nieuw";0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,6;1,8;1,8;1,8;1,8;1,9;1,9;1,8;1,7;1,7;1,7;1,6;2,1;1,6;1,2;9,0;8,0;8,0;8,0;8,0;8,1;8,1;7,0;9,0;9,0;8,8;10,8;10,8;11,7;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,5;0,5;7,4;7,4;6,4;7,4;6,4;6,5;5,4;5,2;6,2;6,1;6,0;6,3;4,0;3,9;78,5;76,6;70,2;68,6;72,5;73,6;71,3;67,9;70,5;68,4;72,9;74,2;72,2;65,3;0,4;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;"";0,6;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;"";"";0,5;2,9;2,9;2,9;2,9;3,0;3,0;3,0;3,0;3,0;3,0;3,0;"";"";2,8;1,8;1,7;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;"";"";1,8;6,4;6,1;6,1;5,5;5,3;5,4;5,4;5,2;5,1;4,1;6,1;"";"";6,1;1,6;0,8;"";"";0,7;0,7;0,7;0,7;0,7;0,7;0,6;0,8;0,6;2,2;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8
"Industrieterrein Kromme Gouwe";0,7;0,7;0,8;0,8;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;1,1;1,1;2,2;2,2;1,7;1,7;1,9;2,0;1,9;1,9;1,9;1,9;2,1;3,0;0,3;0,4;10,6;8,8;8,8;9,1;8,9;9,1;8,8;7,4;8,5;8,6;9,0;10,8;8,0;8,7;0,8;0,8;0,9;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,8;0,8;1,2;1,2;16,6;16,4;12,6;12,8;15,1;16,3;15,1;9,6;10,1;10,0;11,9;12,7;0,2;0,2;82,2;79,8;75,0;70,9;75,0;78,0;74,9;69,6;71,2;69,2;74,4;75,0;60,3;55,2;0,8;0,9;0,9;0,9;0,8;0,8;0,9;0,9;0,9;0,9;0,8;0,8;"";1,3;1,5;1,4;1,3;1,4;1,5;1,5;1,4;1,4;1,5;1,5;1,5;1,8;0,0;0,0;1,2;1,2;1,2;1,2;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,2;1,6;1,5;0,7;0,7;0,7;0,7;0,7;0,7;0,8;0,9;0,9;0,9;0,9;"";"";1,1;1,1;1,1;1,1;1,1;1,4;1,4;1,3;1,2;1,0;1,3;1,2;"";"";0,4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,1;"";"";1,4;8,6;7,9;7,8;7,9;7,9;7,9;7,6;7,6;7,5;6,5;9,8;"";"";4,7;1,5;0,7;"";"";0,7;0,7;0,8;0,9;0,9;0,9;0,9;0,9;1,0;2,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;1,5;1,6
"Industrieterrein Hollandsche Ijssel";0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,6;0,6;0,6;2,1;2,2;2,3;2,3;2,3;2,3;2,6;2,5;2,5;2,7;2,1;3,3;1,7;1,8;9,6;8,9;8,8;8,6;8,9;8,9;9,1;7,9;9,9;10,0;10,0;11,5;11,4;12,0;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,6;0,6;0,5;0,5;0,5;0,5;0,5;21,8;23,2;19,0;19,7;19,6;20,2;22,6;14,5;15,2;15,4;10,5;20,4;8,9;7,8;80,5;78,3;72,8;69,7;73,3;73,8;72,3;69,6;71,4;69,3;74,0;75,5;71,7;66,9;0,6;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,7;0,8;0,8;"";0,7;2,2;1,3;1,4;1,3;1,3;1,3;1,4;1,3;1,3;1,4;1,5;1,5;0,9;0,9;0,8;0,8;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,8;0,9;0,9;0,9;0,8;0,8;0,9;0,8;0,8;0,8;0,9;0,8;0,8;"";"";0,7;1,9;2,1;2,2;2,1;2,1;2,1;2,1;1,9;1,8;2,0;1,9;"";"";2,0;1,8;1,4;1,8;1,8;1,8;1,8;1,7;1,8;1,8;1,7;1,7;"";"";1,6;7,6;7,2;7,4;7,0;7,1;7,1;7,5;6,7;6,3;5,4;8,0;"";"";7,3;1,2;1,2;"";"";1,2;1,2;1,1;1,3;1,3;1,3;1,3;0,8;1,2;1,6;0,9;0,9;0,8;0,9;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,8;0,9;0,8
"Weidebloemkwartier";1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,7;0,7;0,7;0,6;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,6;0,6;0,5;6,9;6,9;6,7;6,5;6,5;6,8;6,7;6,0;7,8;7,8;7,9;9,9;9,9;10,7;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;1,0;4,3;4,3;3,4;3,7;2,6;2,6;2,3;2,9;3,5;3,4;3,4;3,3;2,7;2,0;71,9;69,6;62,7;60,5;64,6;65,0;62,8;59,4;63,0;61,0;66,0;68,7;53,4;58,5;0,8;1,0;1,0;1,0;0,9;1,0;1,0;0,9;0,9;0,9;0,9;1,0;"";1,0;1,8;0,6;0,8;0,6;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,6;0,7;0,5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,8;0,6;0,6;0,6;0,6;0,7;0,7;0,7;0,6;0,6;0,6;0,6;"";"";0,9;2,1;2,1;2,1;2,0;1,7;1,9;1,9;1,9;2,2;2,0;2,0;"";"";2,2;2,3;2,1;2,2;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;"";"";2,3;4,0;4,0;4,3;4,0;4,0;4,0;4,0;3,9;3,1;2,0;4,0;"";"";4,0;1,9;1,2;"";"";1,2;1,2;1,1;1,1;1,1;1,1;1,1;1,2;1,0;2,5;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,3
